"1","Daily.Course.min","Weather","Snow","Use.per.Pickup","Pickup.Time"
29,3870,918.9,7,136.832386098982,3544.01332235384
3870,963900,122943,1380,15938.5027881431,420129.498353076
918.9,122943,32251.65,175.6,4354.9760232908,107691.978584975
7,1380,175.6,7,24.7147952977707,863.25
136.832386098982,15938.5027881431,4354.9760232908,24.7147952977707,822.896812121043,16095.3132179968
3544.01332235384,420129.498353076,107691.978584975,863.25,16095.3132179968,508628.921716981
