"1","Daily.Course.min","Weather","Snow","Use.per.Pickup","Pickup.Time"
31,4200,927.7,8,152.328228988612,3292.25
4200,1159200,124800,1560,20885.9006003545,447630
927.7,124800,32294.87,181.5,4123.85850278823,97872.2
8,1560,181.5,8,46.1377929058302,841
152.328228988612,20885.9006003545,4123.85850278823,46.1377929058302,1017.40577578956,16080.7507417898
3292.25,447630,97872.2,841,16080.7507417898,357724.9375
